0,kormány,tányér,bika,zseni,hercegnő,rendőr,robot,szellem,hullám,csatorna,nyúl,gazda,sárkány,csomó,tüdő,száj,puska,szikra,vonal,kalóz
1,csiga,tábla,hideg,olaj,betegség,tiszta,hold,szakít,képernyő,virág,tánc,koporsó,nyúl,gumi,szék,ügyvéd,mező,gitár,kereszt,orvos
2,benzin,harang,színház,világos,kenyér,tánc,pálya,fekete,bank,cápa,levél,forma,csavar,hajó,kártya,háború,háló,narancs,homok,fedél
3,tányér,olaj,bánya,pont,ordít,tévé,rakéta,tudós,bíró,körte,palack,templom,kocka,benzin,kemény,harang,alma,teherautó,tánc,gyöngy
4,halál,motor,indián,oroszlán,hercegnő,tanár,pisztoly,csomó,csöpp,helikopter,hold,levél,méreg,sárkány,könnyű,háló,apró,kocka,szám,cipő
5,kórház,homok,csap,pisztoly,opera,robot,jogász,fedél,macska,nyom,haza,stadion,hajt,ügynök,bánya,ajtó,orvos,levegő,barát,csokoládé
6,betegség,pénz,egyenes,bánya,forrás,torta,bomba,királynő,csiga,csap,háló,anyag,fűszer,kesztyű,kalóz,mozi,katona,csavar,szék,tábla
7,szél,kölyök,szív,kutya,műhold,betegség,szín,egyenes,forma,vonal,milliomos,kalóz,tojás,üveg,gyökér,görög,tévé,oszt,figura,fedél
8,nehéz,szoknya,kormány,világos,kréta,árnyék,torony,virág,boszorkány,tolvaj,távolság,iskola,csatorna,levegő,egyenes,álom,oszlop,száj,kórház,papír
9,benzin,haza,nehéz,toll,idegen,követ,mozi,játék,tető,oroszlán,gitár,daru,part,szakít,sivatag,féreg,mező,opera,boszorkány,telefon
10,szem,gitár,gyémánt,sárkány,ordít,csavar,szél,orvos,part,meleg,mozi,medve,szakács,tévé,könnyű,árnyék,szív,kocka,zöld,törpe
11,tető,villa,színház,rózsa,oszt,fekete,pont,betegség,homok,idegen,benzin,csatorna,oroszlán,törpe,motor,hold,kutya,édes,bomba,csavar
12,macska,nyom,gazda,csavar,felhő,iskola,robot,pilóta,kard,szikra,könnyű,bika,villa,nyit,fedél,körte,csokoládé,haza,volt,ügynök
13,óriás,atom,nővér,helikopter,haza,koporsó,csempész,szén,tábla,levél,cápa,természet,nyom,daru,koncert,szikra,oszlop,pálya,föld,térkép
14,hullám,figura,kölyök,szám,pálya,keret,pilóta,tanár,tiszta,sárkány,nyit,kaszinó,bíró,meleg,tánc,barát,rózsa,lyuk,puska,élet
15,szakasz,csomó,kocka,lovag,volt,boszorkány,kritikus,kölyök,édes,kenyér,tégla,levegő,mese,fűszer,torta,vezet,üveg,tanár,mozi,szikra
16,szürke,telefon,iskola,helikopter,bank,ügyvéd,labda,indián,arany,ügynök,természet,park,rendőr,kesztyű,kulcs,tavasz,sötét,macska,bálna,csokoládé
17,nadrág,világos,rózsa,nyit,robot,gyémánt,lovag,egér,hideg,színház,sivatag,óriás,opera,élet,szél,játék,kormány,halál,sárkány,zebra
18,ügyvéd,föld,nővér,szem,féreg,telefon,rendőr,álom,csizma,háló,hideg,levegő,szakács,kaszinó,pont,kemény,torony,piramis,tanár,tolvaj
19,hideg,barát,virág,kard,denevér,tanár,tüske,sötét,leves,csatorna,motor,édes,könnyű,toll,koporsó,tábla,torony,törpe,puska,hatalom
20,bánya,műanyag,háború,pilóta,haza,görög,csavar,képernyő,kerek,hajt,hullám,indián,gazda,opera,csillag,csap,tüdő,szerencse,jegy,pisztoly
21,görög,halál,erdő,ordít,mese,banda,láng,forrás,telefon,tanár,csöpp,béka,kemény,térkép,volt,négyzet,hercegnő,baba,park,háború
22,cipő,kerek,lyuk,teherautó,orvos,gerinc,ruha,tiszta,atom,rakéta,jegy,kormány,láda,oszt,gomb,pohár,szél,csöpp,bíró,anya
23,álom,királynő,tüdő,árnyék,hajó,torta,hercegnő,szikra,pohár,csillag,zöld,pilóta,iskola,boszorkány,követ,színház,taxi,körte,óriás,kormány
24,piramis,szoknya,bank,nehéz,zebra,kerek,lélek,labda,telefon,helikopter,határ,kártya,figura,torta,lámpa,ordít,boszorkány,kölyök,méreg,narancs
25,tanár,nyit,nővér,hullám,négyzet,gumi,jogász,kereszt,világos,mozi,nyom,boszorkány,kölyök,banán,leves,narancs,papír,tévé,torony,robot
26,lovag,harang,narancs,kocka,oszt,görög,figura,csatorna,bíró,barát,árnyék,műhold,macska,szív,csavar,háború,betegség,gazda,zseni,koncert
27,szerencse,koporsó,szín,szék,kulcs,helikopter,csempész,hajó,sivatag,gyűrű,betegség,rakéta,hotel,levél,piramis,királynő,színház,gerinc,tévé,egészség
28,homok,kard,tanár,hideg,gerinc,háború,cirkusz,fűszer,nővér,szakács,pilóta,mozi,templom,kritikus,gyöngy,tüdő,tojás,haza,betegség,idegen
29,denevér,ügyvéd,puska,idegen,kerek,ordít,papír,cipő,királynő,alak,tudós,hullám,tojás,pohár,féreg,toll,csokoládé,virág,amazon,pénz
30,szellem,csokoládé,benzin,baba,cirkusz,felhő,oszt,koncert,hatalom,tető,pilóta,cápa,robot,asztal,láda,mese,kenyér,gomb,vitamin,gerinc
31,szín,hatalom,körte,szellem,árnyék,hajt,fűszer,torta,tanár,kulcs,barát,szél,forrás,egészség,denevér,szem,mező,atom,sötét,szék
32,repül,bika,méreg,csillag,kard,láng,láda,bánya,birka,kalóz,majom,templom,lyuk,műhold,kenyér,hercegnő,szél,cipő,föld,gyűrű
33,udvar,ügyvéd,pénz,keret,pálya,követ,arany,taxi,gyűrű,tanár,tánc,gyökér,kalóz,anya,oszlop,kard,csirke,láda,kesztyű,vezet
34,hajt,határ,pálya,kard,kártya,csiga,kritikus,asztal,narancs,robot,templom,zseni,amazon,iskola,pisztoly,műanyag,lyuk,torta,tüdő,csokoládé
35,király,jegy,mező,hold,magyar,autó,kesztyű,csillag,vezet,királynő,amazon,sötét,kormány,forma,forrás,édes,papír,tudós,szem,kulcs
36,lámpa,ügynök,éjszaka,tányér,egészség,csomó,ruha,nyit,kormány,kréta,gomb,tető,kaszinó,milliomos,természet,távolság,oszt,helikopter,keret,park
37,bánya,kréta,kenyér,fekete,nyit,szív,vonal,lélek,másol,térkép,meleg,zebra,egér,élet,harang,erdő,szem,ügyvéd,körte,követ
38,opera,csokoládé,hajó,tüdő,puska,béka,hatalom,színház,fedél,görög,piramis,idegen,műanyag,háló,gyémánt,csiga,labda,koncert,szív,volt
39,szél,banán,szív,kemény,szín,szürke,erdő,daru,bolt,haza,idegen,vonal,háború,rendőr,csirke,pohár,hercegnő,gyökér,lovag,ügyvéd
40,arany,szakács,medve,kórház,nyit,hullám,kulcs,kutya,orvos,tavasz,kard,természet,tánc,alak,daru,udvar,part,kormány,egyenes,mező
41,forrás,koporsó,stadion,oroszlán,figura,motor,erdő,atom,anya,csatorna,szakasz,anyag,helikopter,sajt,határ,tudós,tüske,törpe,pisztoly,bolt
42,háború,opera,nővér,iskola,szám,nyit,szék,pálya,kölyök,asztal,oszt,görög,figura,vonal,gyémánt,bomba,könnyű,fűszer,körte,puska
43,iskola,forrás,központ,atom,szakács,lovag,telefon,cirkusz,fűszer,tudós,zebra,kulcs,templom,teherautó,ordít,helikopter,vezet,harang,száj,ügyvéd
44,kard,tábla,halál,medve,autó,majom,kaszinó,háló,stadion,vonal,kereszt,gerinc,szám,egyenes,tolvaj,mező,láda,asztal,homok,mese
45,motor,kard,bálna,hatalom,stadion,apró,anya,szakasz,egészség,lélek,hideg,hold,hullám,sárkány,szarv,homok,vonal,szám,hajó,éjszaka
46,forrás,hajt,torta,piramis,függ,tudós,féreg,kesztyű,kard,jegy,labda,arany,orvos,nyom,szikra,szemét,mozi,lyuk,meleg,pálya
47,homok,kerek,csiga,pohár,király,függ,sivatag,lovag,villa,szakács,tányér,pilóta,kártya,bomba,opera,lámpa,egészség,volt,gumi,szék
48,cipő,másol,pálya,autó,bika,fűszer,csöpp,tüske,élet,nyit,csizma,világos,pilóta,vitamin,csokoládé,tányér,bálna,stadion,kutya,kormány
49,kritikus,part,csavar,ügyvéd,orvos,görög,ordít,kerek,árnyék,rózsa,szemét,iskola,tánc,hideg,pilóta,fűszer,ruha,szén,medve,rendőr
50,hajt,élet,mező,világos,fűszer,szakít,pilóta,halál,kölyök,volt,éjszaka,szürke,udvar,bíró,kenyér,kesztyű,bolt,föld,autó,színház
51,meleg,tüdő,világos,tető,part,szén,halál,lámpa,gerinc,kerek,távolság,bolt,orvos,szem,egér,vitamin,szakít,lyuk,szín,gazda
52,hajt,volt,forrás,könnyű,angyal,baba,part,udvar,betegség,hatalom,sárkány,csap,gerinc,daru,kereszt,narancs,gitár,koncert,kártya,szín
53,csiga,vonal,anya,indián,meleg,műanyag,műhold,puska,torta,természet,arany,csokoládé,kormány,csirke,határ,koncert,bíró,szakít,tojás,motor
54,homok,óriás,kréta,határ,sárkány,figura,lélek,rózsa,tüdő,motor,cipő,követ,nyit,csomó,tető,tudós,barát,koporsó,ügyvéd,leves
55,árnyék,lámpa,csöpp,ügyvéd,rózsa,bolt,álom,kréta,láda,láng,sivatag,erdő,levegő,csiga,palack,vonal,katona,ügynök,kocka,denevér
56,kesztyű,gyémánt,szám,sárkány,anyag,királynő,hotel,taxi,kaszinó,kemény,gyökér,egyenes,pénz,bika,kenyér,sötét,ügyvéd,központ,indián,könnyű
57,repül,tüdő,mező,olaj,erdő,szakasz,sárkány,csatorna,tojás,rendőr,száj,alma,anyag,gumi,csirke,szakács,mozi,ügynök,kutya,fűszer
58,műanyag,tévé,gumi,nyom,majom,tető,világos,volt,levél,tudós,csiga,kórház,taxi,játék,élet,lélek,kutya,idegen,gyöngy,kereszt
59,üveg,szerencse,elem,fedél,repül,méreg,láda,lélek,szín,körte,kerek,csomó,apró,ruha,birka,gyűrű,béka,egyenes,tanár,nehéz
60,nyom,egyenes,kemény,árnyék,hold,hercegnő,csavar,alak,banán,háló,indián,torony,szerencse,keret,kulcs,királynő,park,szín,stadion,volt
61,tábla,boszorkány,lélek,felhő,kard,csempész,vezet,zebra,gyűrű,álom,szél,szarv,kölyök,barát,gomb,pénz,hullám,függ,iskola,kártya
62,idegen,csiga,cipő,kenyér,bomba,bánya,haza,indián,szellem,hotel,oszt,magyar,banán,műanyag,tanár,mozi,zöld,rózsa,repül,csokoládé
63,kórház,atom,négyzet,telefon,ajtó,haza,központ,háború,királynő,csokoládé,palack,kréta,kalóz,hideg,opera,figura,betegség,tiszta,vitamin,anyag
64,törpe,elem,sötét,egér,bika,gitár,csillag,tábla,béka,nehéz,daru,kalóz,térkép,katona,természet,fedél,csatorna,nyom,kulcs,labda
65,háló,angyal,pont,benzin,vitamin,bika,hercegnő,szél,stadion,kórház,kaszinó,láda,tiszta,édes,csokoládé,idegen,gomb,asztal,cirkusz,udvar
66,iskola,homok,csavar,üveg,meleg,gyémánt,gerinc,hullám,nehéz,tető,nyom,asztal,szellem,nadrág,figura,oszt,zseni,autó,cirkusz,alma
67,vitamin,csap,kórház,gazda,majom,álom,kártya,angyal,anyag,kenyér,szakács,banda,kritikus,anya,elem,kemény,repül,telefon,zseni,alak
68,pénz,piramis,levél,kritikus,meleg,torta,motor,virág,zseni,élet,játék,arany,leves,egér,taxi,repül,kréta,csokoládé,tüdő,papír
69,bolt,asztal,ügynök,törpe,pilóta,rakéta,oszlop,lélek,kutya,tanár,nehéz,gyűrű,tánc,szarv,park,haza,hotel,szakít,sivatag,tégla
70,gitár,olaj,virág,zseni,szarv,gyöngy,háború,pilóta,kocka,asztal,kórház,csiga,fekete,torony,élet,szakács,majom,műanyag,denevér,hatalom
71,volt,tányér,élet,szakasz,műhold,katona,lyuk,tiszta,könnyű,toll,levegő,sárkány,bálna,rendőr,méreg,cipő,koporsó,királynő,mező,macska
72,távolság,kölyök,kereszt,olaj,jogász,puska,tiszta,majom,kutya,hullám,csokoládé,kormány,csirke,kaszinó,bánya,barát,zöld,szem,cirkusz,színház
73,cápa,szakács,kaszinó,jogász,kártya,piramis,volt,bolt,nővér,arany,kulcs,magyar,forma,szín,gyöngy,harang,élet,keret,gyűrű,lyuk
74,sivatag,kulcs,angyal,forma,stadion,képernyő,csirke,föld,követ,nyúl,telefon,kocka,medve,szív,kereszt,hajó,királynő,torony,ügyvéd,gyöngy
75,anya,keret,vezet,ügynök,egészség,elem,tanár,óriás,alma,hideg,koncert,tiszta,puska,szürke,virág,oszlop,kölyök,olaj,kártya,láda
76,lovag,kesztyű,hullám,nővér,banda,oszlop,volt,magyar,csöpp,követ,ügyvéd,csomó,álom,hatalom,oszt,béka,tüske,szikra,hercegnő,meleg
77,pisztoly,fedél,kocka,másol,apró,rózsa,egyenes,ajtó,hideg,árnyék,boszorkány,sárkány,üveg,kritikus,határ,műhold,csokoládé,szerencse,benzin,csöpp
78,park,gyöngy,macska,szarv,tudós,amazon,tavasz,szürke,bálna,mozi,sajt,oszlop,sötét,banda,méreg,szerencse,központ,stadion,koncert,telefon
79,milliomos,lámpa,csillag,felhő,barát,tüdő,hajó,nyom,lélek,száj,medve,kalóz,természet,határ,alak,tévé,sivatag,pisztoly,ordít,kölyök
80,majom,határ,atom,bomba,helikopter,nyúl,sajt,oszlop,természet,kormány,szoknya,szellem,angyal,műanyag,virág,alma,mozi,cápa,tavasz,pénz
81,labda,forma,opera,keret,tanár,templom,taxi,daru,kemény,függ,autó,kulcs,színház,kutya,anya,ügynök,tüdő,mező,alak,pálya
82,rendőr,tavasz,cirkusz,szél,medve,térkép,oroszlán,tévé,szén,gerinc,katona,bika,alma,haza,opera,forma,éjszaka,baba,park,játék
83,hajó,műanyag,háború,kocka,tánc,másol,bíró,stadion,daru,alak,üveg,villa,föld,szakít,udvar,szellem,volt,felhő,kórház,cápa
84,szerencse,teherautó,kenyér,láng,szarv,villa,leves,háború,haza,puska,rendőr,száj,kormány,másol,sárkány,mese,üveg,gitár,kréta,tanár
85,kulcs,könnyű,denevér,szakasz,csatorna,torta,bika,gyémánt,kocka,amazon,kártya,élet,orvos,rakéta,mező,szén,tégla,villa,motor,hotel
86,keret,csempész,fekete,arany,bálna,toll,pohár,bánya,kenyér,ügynök,forma,templom,pisztoly,volt,kutya,törpe,indián,háború,alak,hajt
87,gomb,cipő,volt,éjszaka,cápa,templom,csatorna,mező,kréta,vonal,oszlop,sötét,bánya,macska,egér,kritikus,rendőr,idegen,háború,kutya
88,árnyék,szoknya,orvos,baba,tojás,puska,szerencse,csap,anyag,gomb,fűszer,műhold,fedél,halál,gyémánt,tudós,bika,béka,fekete,háló
89,lovag,cirkusz,elem,levél,pálya,alma,torony,ajtó,stadion,kereszt,erdő,kard,tavasz,hold,kréta,kormány,sajt,piramis,opera,torta
90,szerencse,ajtó,rózsa,csatorna,követ,pisztoly,csillag,templom,apró,nyom,szakít,csavar,toll,autó,tiszta,amazon,rakéta,vezet,figura,kocka
91,forma,színház,zseni,csizma,vezet,forrás,szén,sivatag,oroszlán,halál,kemény,kórház,másol,koporsó,nyúl,arany,anyag,kormány,piramis,gyöngy
92,csizma,szürke,kereszt,pohár,fűszer,mozi,forrás,kocka,ajtó,birka,villa,atom,olaj,arany,angyal,óriás,leves,csavar,bank,egyenes
93,tolvaj,szél,ruha,benzin,király,háború,kalóz,gerinc,hideg,kréta,ajtó,taxi,motor,oroszlán,zebra,cápa,nyit,udvar,csiga,láda
94,tiszta,zebra,követ,világos,szürke,apró,üveg,orvos,gyökér,levegő,lyuk,ügyvéd,láng,kölyök,medve,meleg,kalóz,halál,jogász,mozi
95,motor,kulcs,ajtó,háború,csirke,mese,pisztoly,cirkusz,szellem,mozi,éjszaka,keret,csizma,távolság,egér,cipő,baba,föld,felhő,tévé
96,apró,szén,szoknya,béka,medve,játék,atom,ordít,háló,élet,hotel,ruha,szék,tető,torta,pohár,telefon,körte,kritikus,gazda
97,anyag,forrás,haza,határ,mese,gomb,térkép,gumi,csatorna,csokoládé,csempész,törpe,cirkusz,iskola,kalóz,lyuk,angyal,kenyér,banán,alma
98,szén,kritikus,kórház,egyenes,forrás,sárkány,kaszinó,tető,gumi,kulcs,zseni,haza,királynő,amazon,zöld,tégla,cirkusz,műhold,gomb,gitár
99,kulcs,gitár,anyag,tojás,pisztoly,zebra,szellem,banda,motor,bank,világos,baba,telefon,kemény,repül,magyar,édes,orvos,asztal,koncert
