0,denevér,királynő,álom,kereszt,angyal,pohár,birka,béka,oszlop,üveg,majom,gyémánt,barát,indián,jogász,felhő,édes,szoknya,másol,görög
1,tüdő,hajó,másol,villa,szarv,szín,függ,pálya,műhold,szerencse,szív,körte,apró,kemény,tüske,anyag,szürke,képernyő,kormány,könnyű
2,atom,torony,kutya,taxi,vonal,üveg,kalóz,orvos,gyökér,erdő,szakács,gomb,pisztoly,bálna,indián,birka,színház,hotel,szürke,amazon
3,robot,levegő,labda,medve,banán,hold,lovag,oroszlán,alak,szél,szoknya,szerencse,szív,gyökér,fűszer,édes,indián,virág,narancs,csap
4,szellem,szív,jogász,bánya,szakács,kard,körte,cápa,puska,központ,part,láng,keret,bolt,lámpa,daru,pilóta,robot,bíró,föld
5,szellem,árnyék,lámpa,daru,színház,haza,kártya,cirkusz,koporsó,alak,birka,banda,kesztyű,puska,virág,méreg,fűszer,csillag,gumi,hideg
6,helikopter,labda,vezet,katona,jogász,levegő,tánc,alak,cipő,tudós,kocka,rózsa,baba,motor,mező,lámpa,tányér,taxi,forrás,kulcs
7,vitamin,amazon,vezet,cirkusz,féreg,szerencse,mese,képernyő,lovag,pont,kaszinó,szikra,bálna,szakács,csatorna,asztal,láng,függ,csizma,koncert
8,narancs,cápa,ajtó,ruha,üveg,fekete,óriás,teherautó,volt,meleg,tányér,szellem,papír,láda,rendőr,képernyő,kórház,indián,csillag,kerek
9,levél,álom,hold,villa,nyit,kutya,mező,labda,ügynök,szarv,kritikus,édes,kereszt,meleg,szakít,kocka,műanyag,lámpa,elem,tégla
10,lámpa,bomba,tanár,gazda,zseni,száj,daru,kesztyű,fűszer,határ,teherautó,egészség,tányér,hajt,másol,apró,sárkány,banda,tolvaj,labda
11,ajtó,part,oszt,távolság,pont,boszorkány,színház,hotel,majom,park,kenyér,katona,macska,fekete,barát,jegy,oszlop,olaj,hajt,zseni
12,mese,torta,betegség,cipő,sivatag,keret,másol,alma,hajt,tévé,nehéz,tüske,szén,kerek,gyűrű,vitamin,kesztyű,jogász,helikopter,láda
13,gumi,nyom,üveg,sötét,lovag,szám,daru,kerek,pohár,meleg,gyöngy,cipő,felhő,indián,robot,csavar,denevér,oszt,autó,papír
14,szakasz,ordít,rózsa,tüske,jegy,barát,másol,egészség,templom,ügyvéd,nyom,angyal,könnyű,halál,kocka,lélek,hercegnő,rakéta,orvos,macska
15,éjszaka,lovag,kard,angyal,meleg,repül,szék,csavar,levegő,gerinc,betegség,térkép,féreg,bánya,vitamin,templom,gitár,motor,arany,papír
16,levegő,másol,benzin,bálna,kutya,amazon,erdő,szemét,egér,láng,hatalom,stadion,sárkány,indián,hideg,szakács,tiszta,jegy,csillag,lámpa
17,templom,játék,görög,gyémánt,követ,milliomos,pont,bálna,szarv,banda,felhő,kölyök,haza,nyom,féreg,térkép,méreg,katona,forrás,kártya
18,leves,álom,sötét,haza,bolt,zebra,csizma,játék,banda,asztal,görög,tányér,kölyök,gyöngy,körte,toll,macska,szív,denevér,daru
19,forma,álom,tavasz,idegen,olaj,sajt,hullám,medve,sötét,helikopter,toll,egészség,bika,indián,nehéz,ruha,csiga,csavar,gumi,betegség
20,körte,kórház,kormány,tiszta,piramis,levegő,park,ajtó,szakács,nyit,hajó,csavar,arany,kerek,tavasz,hotel,csempész,szikra,ordít,követ
21,szarv,taxi,csiga,csatorna,jogász,tavasz,függ,szoknya,elem,macska,körte,szerencse,ügyvéd,barát,mozi,labda,mező,pénz,gazda,követ
22,gerinc,száj,banda,bolt,szoknya,mese,betegség,sötét,központ,banán,stadion,követ,anya,tavasz,labda,édes,természet,képernyő,tolvaj,nyom
23,opera,természet,szürke,vezet,bank,édes,pénz,alak,sötét,nyúl,bolt,hajt,hercegnő,királynő,tojás,oroszlán,kórház,tévé,narancs,gitár
24,mező,ruha,autó,térkép,volt,kártya,tiszta,fedél,tüske,lovag,ügynök,kereszt,alma,vonal,felhő,kenyér,baba,majom,tolvaj,élet
25,körte,bánya,csempész,indián,amazon,tüdő,gerinc,lámpa,ügynök,király,haza,háló,szerencse,ordít,mese,telefon,másol,meleg,csatorna,idegen
26,görög,tüske,szarv,tányér,oroszlán,törpe,műanyag,labda,oszlop,forma,nyom,szél,egér,bomba,tojás,kereszt,ruha,csap,pont,álom
27,jogász,palack,tányér,gyökér,négyzet,háló,medve,hotel,műhold,játék,óriás,vitamin,fekete,királynő,kulcs,stadion,tánc,tiszta,taxi,színház
28,tánc,amazon,arany,központ,féreg,tiszta,bánya,anya,egészség,háló,üveg,képernyő,szám,tojás,alma,vitamin,tévé,háború,rendőr,motor
29,csillag,repül,puska,királynő,édes,kenyér,tüdő,tánc,piramis,helikopter,tévé,amazon,bank,homok,kártya,tüske,zseni,fűszer,másol,tető
30,lélek,bálna,piramis,csirke,gyűrű,vitamin,lovag,birka,ordít,udvar,katona,szám,iskola,pálya,figura,édes,követ,csillag,boszorkány,toll
31,anyag,szakít,gomb,boszorkány,elem,pont,műhold,tanár,autó,szám,fedél,tudós,sivatag,taxi,telefon,szakács,nyit,sajt,teherautó,alak
32,sajt,nyit,idegen,térkép,gyöngy,pohár,szén,leves,kesztyű,jegy,föld,tánc,tanár,kutya,cirkusz,homok,szellem,villa,telefon,banán
33,autó,teherautó,szakít,kutya,csillag,pisztoly,puska,gumi,görög,hajt,barát,zebra,hercegnő,milliomos,kórház,lyuk,kölyök,méreg,hotel,csavar
34,daru,erdő,béka,sajt,cirkusz,part,narancs,rendőr,ordít,haza,zebra,kritikus,halál,kaszinó,tábla,hatalom,teherautó,hotel,kártya,ügynök
35,kulcs,édes,cápa,toll,oszlop,csiga,bolt,piramis,levél,virág,nővér,fekete,bank,élet,központ,hajó,hercegnő,vezet,sajt,amazon
36,szén,teherautó,szín,gitár,robot,álom,pálya,koncert,hold,bank,medve,levegő,pisztoly,baba,nyit,négyzet,édes,koporsó,határ,iskola
37,szem,stadion,ügyvéd,méreg,motor,idegen,kártya,lámpa,cápa,csizma,bíró,zöld,édes,part,nadrág,függ,kulcs,banda,száj,macska
38,rózsa,háló,denevér,kritikus,hajt,színház,betegség,tüdő,bomba,gyökér,kulcs,vezet,labda,szemét,autó,puska,féreg,műhold,tányér,térkép
39,orvos,gomb,gumi,zöld,tévé,birka,vonal,kaszinó,alak,szerencse,mező,tanár,figura,hajó,villa,szék,milliomos,szín,sötét,virág
40,gerinc,mese,robot,oszlop,szív,torony,csatorna,anya,függ,pilóta,kesztyű,tüske,macska,körte,medve,csokoládé,bíró,kölyök,kutya,csirke
41,kerek,magyar,anyag,sötét,élet,gyöngy,zöld,szikra,pálya,gazda,lyuk,szín,papír,barát,repül,cirkusz,jogász,nővér,föld,törpe
42,forrás,indián,koporsó,meleg,műanyag,térkép,medve,csillag,alak,szikra,denevér,csavar,sajt,bika,gyöngy,stadion,szakít,kormány,színház,jogász
43,nehéz,szemét,könnyű,képernyő,tető,határ,koncert,tévé,gumi,csokoládé,hotel,nyit,nyúl,gyűrű,óriás,papír,természet,banán,hullám,rakéta
44,szarv,négyzet,daru,nadrág,fedél,nyit,lélek,sötét,mozi,szellem,figura,király,távolság,gyűrű,hideg,iskola,kártya,száj,cipő,hotel
45,sivatag,piramis,kerek,kritikus,majom,kemény,háló,fekete,követ,csirke,asztal,központ,iskola,nyom,lámpa,denevér,cirkusz,angyal,függ,föld
46,teherautó,jogász,szén,piramis,bolt,láng,királynő,tévé,hideg,oroszlán,koncert,apró,kaszinó,király,motor,vezet,pénz,gyökér,zebra,szél
47,kártya,mező,cirkusz,macska,kenyér,szarv,föld,szakasz,sivatag,színház,vitamin,ruha,bomba,kard,pálya,motor,csomó,angyal,tégla,kocka
48,birka,tavasz,kritikus,gomb,szellem,tévé,gyűrű,amazon,keret,sivatag,pénz,atom,lámpa,hatalom,alma,háló,fekete,tolvaj,könnyű,macska
49,hatalom,királynő,ordít,medve,pont,szoknya,tégla,körte,erdő,atom,hotel,kesztyű,banda,forma,tévé,mese,féreg,szarv,motor,kerek
50,kártya,tüske,hold,oszt,kenyér,tévé,ajtó,gyökér,motor,tégla,gitár,boszorkány,tudós,kormány,denevér,háború,hullám,csillag,papír,görög
51,központ,apró,halál,gumi,pohár,barát,torta,gyémánt,vonal,kutya,szikra,egészség,hatalom,cipő,nővér,banda,teherautó,forrás,leves,szakasz
52,opera,koporsó,fekete,palack,szikra,négyzet,kaszinó,gerinc,sötét,lyuk,amazon,zseni,csap,kritikus,édes,háló,jogász,olaj,láng,tánc
53,könnyű,kórház,nyit,vonal,bomba,rózsa,láda,repül,körte,fedél,tüske,hercegnő,mese,szellem,autó,szakasz,tolvaj,vitamin,toll,indián
54,alma,arany,vonal,bolt,virág,denevér,vezet,kulcs,négyzet,tanár,csomó,alak,teherautó,egér,tánc,kard,cipő,idegen,gumi,egészség
55,toll,atom,fűszer,csokoládé,rózsa,egér,asztal,mező,éjszaka,tanár,szikra,denevér,keret,katona,iskola,idegen,medve,baba,halál,tavasz
56,indián,tojás,jegy,körte,arany,föld,opera,szív,gerinc,kulcs,óriás,bíró,szikra,háló,egészség,természet,láng,lámpa,baba,szarv
57,képernyő,kölyök,puska,narancs,katona,pohár,tüdő,egészség,anyag,szék,pont,sajt,gyűrű,szellem,leves,királynő,hotel,torony,tolvaj,magyar
58,kártya,rózsa,műanyag,rakéta,szerencse,természet,elem,hullám,csatorna,oroszlán,óriás,nadrág,bika,kréta,benzin,gyémánt,árnyék,denevér,határ,motor
59,követ,alma,féreg,zebra,levél,kaszinó,park,álom,leves,műanyag,kemény,gyémánt,stadion,kenyér,szellem,kesztyű,éjszaka,egyenes,levegő,gomb
60,motor,szám,távolság,gerinc,csavar,pont,lovag,kemény,leves,követ,nehéz,csap,koncert,rendőr,halál,puska,zseni,bika,másol,tégla
61,álom,boszorkány,tánc,bank,forrás,pohár,méreg,kenyér,láng,homok,bika,hotel,háború,tiszta,toll,görög,kréta,bomba,üveg,szám
62,alak,szám,robot,daru,zseni,tányér,apró,természet,idegen,műanyag,szakasz,torta,udvar,atom,benzin,üveg,tojás,kölyök,sötét,part
63,kard,jogász,csatorna,lyuk,szám,piramis,árnyék,pilóta,központ,bomba,színház,stadion,csomó,elem,repül,rendőr,boszorkány,szín,tányér,macska
64,görög,csomó,vonal,szakács,szél,ruha,homok,pohár,gumi,követ,álom,bíró,kölyök,zöld,szarv,vitamin,ajtó,bika,természet,hotel
65,atom,kórház,király,sajt,keret,távolság,kocka,négyzet,követ,hajt,kutya,denevér,anyag,zebra,gerinc,forrás,oroszlán,daru,toll,bánya
66,villa,tánc,egér,követ,medve,fekete,puska,térkép,ordít,asztal,gyémánt,benzin,zöld,kocka,hold,szerencse,cipő,körte,kaszinó,repül
67,cipő,helikopter,kutya,mozi,rakéta,stadion,medve,papír,pilóta,szakasz,bika,játék,csap,tavasz,élet,torta,benzin,követ,kulcs,egészség
68,gerinc,háború,függ,forma,kocka,kenyér,halál,üveg,banda,színház,baba,szakasz,rendőr,barát,pálya,tiszta,kölyök,egyenes,cápa,narancs
69,torta,csokoládé,sötét,kritikus,szakasz,láng,kréta,szikra,egészség,tető,volt,csatorna,kölyök,part,pénz,háború,bomba,teherautó,medve,pálya
70,gyöngy,kaszinó,harang,katona,oszlop,gazda,tábla,olaj,szoknya,háború,medve,fekete,vonal,egyenes,elem,pilóta,keret,csokoládé,rendőr,haza
71,féreg,szín,koporsó,birka,bika,udvar,hotel,csavar,hajó,nyit,nyúl,kocka,ordít,oszlop,bálna,kereszt,angyal,sivatag,telefon,kulcs
72,harang,milliomos,mese,képernyő,gerinc,gyöngy,narancs,csirke,csap,lámpa,egyenes,méreg,part,telefon,szarv,csomó,szék,pénz,opera,sötét
73,szemét,apró,lyuk,bánya,leves,tüdő,fedél,zebra,amazon,csirke,bolt,cipő,rózsa,szék,másol,pálya,felhő,szürke,daru,egér
74,világos,kórház,hatalom,kard,milliomos,oszlop,szék,követ,csomó,üveg,láda,vitamin,gazda,gomb,erdő,villa,csizma,gyűrű,egészség,béka
75,csatorna,láda,gyűrű,kalóz,szikra,templom,tető,sárkány,sötét,hajt,lyuk,csiga,játék,oszlop,barát,másol,szék,csap,apró,ordít
76,könnyű,csirke,műhold,fedél,bomba,forrás,ügyvéd,hold,szikra,egyenes,csomó,vitamin,hatalom,tégla,gyűrű,követ,papír,képernyő,templom,rendőr
77,puska,király,tüske,gyémánt,tégla,figura,bánya,volt,apró,tető,szakács,hotel,virág,határ,banán,pisztoly,kard,rakéta,magyar,ügynök
78,görög,ügyvéd,gyűrű,katona,boszorkány,torta,háló,kaszinó,stadion,rendőr,csempész,féreg,kutya,csavar,nyit,lovag,volt,kalóz,gazda,béka
79,távolság,hideg,gyűrű,virág,szék,banda,oroszlán,ajtó,anyag,lélek,képernyő,háló,élet,négyzet,hatalom,központ,idegen,forma,követ,láng
80,szoknya,anya,motor,száj,piramis,tudós,benzin,rakéta,király,nehéz,színház,követ,arany,pénz,képernyő,műhold,műanyag,mese,forma,tanár
81,vonal,csokoládé,villa,toll,árnyék,alma,hatalom,gyémánt,szív,kormány,bálna,követ,csap,sárkány,szakasz,halál,lélek,asztal,képernyő,teherautó
82,homok,szerencse,négyzet,iskola,gerinc,száj,fedél,medve,orvos,denevér,tüske,kocka,központ,tévé,zseni,tégla,sivatag,opera,motor,nyúl
83,nadrág,robot,ordít,bíró,vitamin,szél,szív,színház,forrás,forma,oszt,kereszt,kerek,nyit,műhold,csirke,taxi,mozi,méreg,ajtó
84,kenyér,haza,szakít,erdő,pisztoly,király,szürke,leves,denevér,kerek,puska,nyit,autó,pilóta,szellem,oroszlán,tüdő,gerinc,lyuk,rózsa
85,csirke,szék,szakít,kormány,kenyér,alma,erdő,mese,méreg,medve,láng,torony,pont,vitamin,zseni,álom,csiga,egér,háború,egészség
86,játék,apró,törpe,szív,kard,pisztoly,képernyő,kenyér,pont,határ,szakács,csavar,tanár,rakéta,toll,tánc,arany,koncert,rózsa,pohár
87,benzin,indián,féreg,csomó,édes,baba,föld,alma,hajt,egyenes,harang,kulcs,tánc,görög,medve,olaj,oszt,tévé,palack,nadrág
88,alma,cirkusz,láng,zebra,virág,kalóz,betegség,kölyök,macska,barát,cápa,élet,föld,csizma,árnyék,kaszinó,zseni,birka,sötét,béka
89,koncert,kesztyű,alak,szarv,felhő,kenyér,tavasz,tanár,zöld,betegség,szakít,jegy,szellem,gerinc,lovag,műhold,háló,repül,szem,méreg
90,szellem,sajt,kesztyű,boszorkány,rózsa,sötét,ügyvéd,kréta,szív,cipő,függ,természet,nyúl,csempész,templom,meleg,birka,háború,felhő,egér
91,csap,lyuk,féreg,jogász,távolság,meleg,kutya,tanár,hajó,háború,torony,park,méreg,kalóz,tolvaj,műanyag,betegség,sivatag,hercegnő,oszt
92,sajt,lovag,központ,méreg,harang,zöld,forma,haza,nyúl,puska,hullám,oroszlán,csillag,láng,hotel,szoknya,tánc,taxi,forrás,tető
93,labda,gerinc,denevér,kemény,hideg,autó,banán,tévé,játék,arany,tégla,másol,pénz,csap,szakít,ruha,háló,csiga,hullám,puska
94,idegen,indián,nyom,pálya,kocka,gyémánt,piramis,pont,követ,rakéta,torony,képernyő,árnyék,bálna,ordít,központ,repül,oszlop,cipő,egér
95,volt,szarv,szemét,király,milliomos,macska,opera,keret,színház,kalóz,üveg,telefon,csomó,szellem,betegség,királynő,függ,pohár,kenyér,egér
96,motor,homok,szív,tüdő,nyit,távolság,leves,hajt,zöld,rendőr,milliomos,követ,rakéta,béka,csokoládé,lyuk,bika,narancs,koporsó,kutya
97,zöld,medve,kerek,puska,sárkány,királynő,pilóta,kalóz,hatalom,barát,taxi,anyag,egészség,arany,ügynök,szén,háló,vezet,orvos,repül
98,cipő,hajó,indián,palack,barát,robot,fekete,fűszer,majom,szám,alak,tanár,pisztoly,tojás,csavar,kaszinó,autó,mező,kritikus,benzin
99,szín,keret,kemény,háború,lovag,zseni,pénz,fedél,szoknya,kesztyű,szikra,gyűrű,boszorkány,indián,atom,leves,macska,narancs,lámpa,amazon
