sessionid,tablaid,utalasid,kezdes,befejezes,tipp,tipp1,tipp2,tipp3,tipp4,tipp5,tipp6,tipp7,tipp8,tipp9,tipp10,tipp11,tipp12
804422422A990DD24BBF130E5ABAECB2,93,0,2022-01-05 06:23:47.285,2022-01-05 06:24:15.369,5,király,udvar,ruha,háború,kalóz,,,,,,,
52A4AB30FD2150F42115728110CDBCBD,60,0,2022-01-05 08:03:56.965,2022-01-05 08:05:03.99,5,egyenes,banán,árnyék,alak,szerencse,,,,,,,
52A4AB30FD2150F42115728110CDBCBD,83,0,2022-01-05 08:05:13.088,2022-01-05 08:05:40.661,4,háború,villa,szellem,föld,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,73,0,2022-01-05 08:30:14.744,2022-01-05 08:31:50.262,5,forma,élet,kaszinó,gyűrű,piramis,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,5,0,2022-01-05 08:32:00.289,2022-01-05 08:33:27.531,3,barát,ajtó,jogász,,,,,,,,,
7C65595A171AC5362351AECA5FF250B8,0,0,2022-01-05 08:33:14.632,2022-01-05 08:35:16.005,5,csatorna,puska,nyúl,tüdő,száj,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,35,0,2022-01-05 08:33:35.954,2022-01-05 08:34:13.64,3,papír,jegy,forma,,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,39,0,2022-01-05 08:34:17.008,2022-01-05 08:34:53.023,4,lovag,rendőr,ügyvéd,haza,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,30,0,2022-01-05 08:35:00.727,2022-01-05 08:35:52.522,4,cirkusz,koncert,benzin,pilóta,,,,,,,,
7C65595A171AC5362351AECA5FF250B8,1,0,2022-01-05 08:35:32.44,2022-01-05 08:36:22.052,6,gitár,szék,kereszt,virág,képernyő,tábla,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,72,0,2022-01-05 08:35:58.87,2022-01-05 08:36:47.315,3,tiszta,olaj,zöld,,,,,,,,,
7C65595A171AC5362351AECA5FF250B8,97,0,2022-01-05 08:36:31.202,2022-01-05 08:51:57.646,5,csempész,kalóz,törpe,cirkusz,csokoládé,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,9,0,2022-01-05 08:36:49.711,2022-01-05 08:38:00.001,4,boszorkány,idegen,sivatag,követ,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,56,0,2022-01-05 08:38:03.987,2022-01-05 08:39:06.642,5,kemény,gyökér,kesztyű,indián,anyag,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,17,0,2022-01-05 08:39:17.575,2022-01-05 08:40:06.029,4,gyémánt,lovag,élet,sárkány,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,38,0,2022-01-05 08:40:08.414,2022-01-05 08:41:17.441,6,piramis,volt,opera,színház,hajó,puska,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,79,0,2022-01-05 08:41:29.992,2022-01-05 08:42:39.09,6,száj,felhő,tüdő,csillag,ordít,természet,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,70,0,2022-01-05 08:42:45.53,2022-01-05 08:44:22.789,5,asztal,szakács,műanyag,pilóta,olaj,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,54,0,2022-01-05 08:44:25.697,2022-01-05 08:45:46.844,5,leves,homok,kréta,tető,koporsó,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,59,0,2022-01-05 08:45:49.479,2022-01-05 08:46:30.754,4,kerek,birka,lélek,csomó,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,26,0,2022-01-05 08:46:33.025,2022-01-05 08:46:58.604,3,zseni,görög,műhold,,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,71,0,2022-01-05 08:47:09.03,2022-01-05 08:48:14.517,5,élet,katona,lyuk,levegő,macska,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,86,0,2022-01-05 08:48:17.995,2022-01-05 08:50:35.842,4,fekete,törpe,alak,pohár,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,40,0,2022-01-05 08:50:39.846,2022-01-05 08:51:12.972,4,szakács,természet,udvar,tavasz,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,92,0,2022-01-05 08:51:23.233,2022-01-05 08:52:02.081,6,szürke,pohár,arany,atom,csavar,angyal,,,,,,
7C65595A171AC5362351AECA5FF250B8,7,0,2022-01-05 08:52:03.683,2022-01-05 08:53:00.73,5,kutya,kölyök,szív,tojás,gyökér,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,49,0,2022-01-05 08:52:12.339,2022-01-05 08:52:33.234,3,fűszer,görög,part,,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,7,0,2022-01-05 08:52:35.216,2022-01-05 08:53:16.769,4,kutya,kölyök,kalóz,forma,,,,,,,,
7C65595A171AC5362351AECA5FF250B8,4,0,2022-01-05 08:53:10.006,2022-01-05 08:54:45.357,4,hercegnő,indián,tanár,oroszlán,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,37,0,2022-01-05 08:53:18.978,2022-01-05 08:53:48.033,4,vonal,szem,bánya,nyit,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,61,0,2022-01-05 08:53:53.382,2022-01-05 08:54:30.008,4,álom,kölyök,barát,iskola,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,97,0,2022-01-05 08:54:38.746,2022-01-05 08:55:30.607,5,kalóz,csempész,cirkusz,törpe,csatorna,,,,,,,
7C65595A171AC5362351AECA5FF250B8,39,0,2022-01-05 08:54:49.398,2022-01-05 08:55:28.2,5,lovag,pohár,hercegnő,rendőr,háború,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,89,0,2022-01-05 08:55:33.602,2022-01-05 08:56:19.891,5,kard,kréta,levél,elem,piramis,,,,,,,
7C65595A171AC5362351AECA5FF250B8,96,0,2022-01-05 08:55:56.161,2022-01-05 08:57:00.184,6,pohár,háló,kritikus,tető,ruha,szoknya,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,76,0,2022-01-05 08:56:24.17,2022-01-05 08:57:02.077,3,meleg,hullám,kesztyű,,,,,,,,,
C0BB56B13B5EB5081B7255BF8E51AE2E,65,0,2022-01-05 08:57:04.486,2022-01-05 08:58:04.082,5,édes,tiszta,csokoládé,benzin,gomb,,,,,,,
7C65595A171AC5362351AECA5FF250B8,77,0,2022-01-05 08:57:06.215,2022-01-05 08:57:57.819,6,boszorkány,sárkány,egyenes,apró,fedél,csokoládé,,,,,,
F31E50567C82C0E4EEEAF453CDD65CF1,81,0,2022-01-05 09:40:43.345,2022-01-05 09:41:25.828,4,forma,alak,daru,kemény,,,,,,,,
F31E50567C82C0E4EEEAF453CDD65CF1,11,0,2022-01-05 09:42:12.328,2022-01-05 09:44:32.555,5,benzin,csatorna,homok,betegség,bomba,,,,,,,
F31E50567C82C0E4EEEAF453CDD65CF1,51,0,2022-01-05 09:44:36.347,2022-01-05 09:45:47.186,5,tüdő,távolság,lyuk,kerek,szem,,,,,,,
F31E50567C82C0E4EEEAF453CDD65CF1,90,0,2022-01-05 09:45:51.193,2022-01-05 09:47:07.877,4,rózsa,szakít,csavar,apró,,,,,,,,
F31E50567C82C0E4EEEAF453CDD65CF1,95,0,2022-01-05 09:47:16.145,2022-01-05 09:48:26.27,5,motor,cipő,csizma,baba,cirkusz,,,,,,,
F31E50567C82C0E4EEEAF453CDD65CF1,83,0,2022-01-05 09:48:32.525,2022-01-05 09:49:19.768,4,műanyag,hajó,háború,volt,,,,,,,,
218494E87D8BD1771C9C57909EE70CF8,26,0,2022-01-05 12:10:25.569,2022-01-05 12:10:58.989,5,görög,kocka,háború,műhold,zseni,,,,,,,
218494E87D8BD1771C9C57909EE70CF8,43,0,2022-01-05 12:11:05.044,2022-01-05 12:11:45.496,6,iskola,templom,harang,központ,vezet,szakács,,,,,,
8CE557B4A99877D1126E139CE7B51E03,24,0,2022-01-05 12:11:10.884,2022-01-05 12:11:45.851,4,zebra,kölyök,ordít,nehéz,,,,,,,,
03DF533CF238DD7BFC5FA46D8DF5D9CC,34,0,2022-01-05 12:11:25.242,2022-01-05 12:11:37.276,6,asztal,kritikus,amazon,narancs,pálya,határ,,,,,,
03DF533CF238DD7BFC5FA46D8DF5D9CC,9,0,2022-01-05 12:11:45.044,2022-01-05 12:11:48.989,4,játék,toll,sivatag,boszorkány,,,,,,,,
218494E87D8BD1771C9C57909EE70CF8,35,0,2022-01-05 12:11:50.13,2022-01-05 12:12:14.141,4,jegy,forma,kormány,papír,,,,,,,,
8CE557B4A99877D1126E139CE7B51E03,20,0,2022-01-05 12:11:59.106,2022-01-05 12:12:38.926,4,hullám,csap,tüdő,háború,,,,,,,,
A5347FB3CE3D36ED6844C8ADAE9BB3C0,80,0,2022-01-05 12:12:09.773,2022-01-05 12:12:17.695,6,tavasz,műanyag,oszlop,mozi,sajt,kormány,,,,,,
218494E87D8BD1771C9C57909EE70CF8,89,0,2022-01-05 12:12:14.974,2022-01-05 12:12:58.7,5,kréta,kard,opera,ajtó,lovag,,,,,,,
A8122DF1DAF1C1CD42679CB55F25AB5B,71,0,2022-01-05 12:12:22.605,2022-01-05 12:13:14.363,5,királynő,katona,könnyű,rendőr,levegő,,,,,,,
54F5E4272D07B084389248E53655F25D,21,0,2022-01-05 12:12:27.597,2022-01-05 12:12:33.32,4,erdő,telefon,kemény,béka,,,,,,,,
03DF533CF238DD7BFC5FA46D8DF5D9CC,44,0,2022-01-05 12:12:29.9,2022-01-05 12:13:03.688,5,autó,kereszt,tábla,mező,egyenes,,,,,,,
8CE557B4A99877D1126E139CE7B51E03,84,0,2022-01-05 12:12:58.447,2022-01-05 12:13:23.067,3,kenyér,száj,villa,,,,,,,,,
A8122DF1DAF1C1CD42679CB55F25AB5B,96,0,2022-01-05 12:13:19.345,2022-01-05 12:14:00.277,6,pohár,háló,ruha,szoknya,szén,atom,,,,,,
54F5E4272D07B084389248E53655F25D,2,0,2022-01-05 12:13:57.256,2022-01-05 12:14:56.481,7,narancs,levél,tánc,színház,harang,háló,kártya,,,,,
A8122DF1DAF1C1CD42679CB55F25AB5B,75,0,2022-01-05 12:14:03.684,2022-01-05 12:14:45.247,7,olaj,virág,szürke,kártya,keret,tiszta,alma,,,,,
A8122DF1DAF1C1CD42679CB55F25AB5B,42,0,2022-01-05 12:14:51.238,2022-01-05 12:15:15,3,körte,fűszer,görög,,,,,,,,,
54F5E4272D07B084389248E53655F25D,81,0,2022-01-05 12:15:09.696,2022-01-05 12:15:39.897,6,forma,keret,kemény,alak,mező,ügynök,,,,,,
224B652EA0C53723B7A2FB8D74EAF6CA,63,0,2022-01-05 12:17:40.834,2022-01-05 12:18:34.193,5,kréta,anyag,figura,csokoládé,négyzet,,,,,,,
4639D52DF0AE05AFB8BDE098608CFD8F,70,0,2022-01-05 12:57:16.084,2022-01-05 12:58:03.057,5,szakács,asztal,olaj,virág,zseni,,,,,,,
4639D52DF0AE05AFB8BDE098608CFD8F,35,0,2022-01-05 12:58:08.872,2022-01-05 12:58:51.888,3,papír,jegy,mező,,,,,,,,,
4639D52DF0AE05AFB8BDE098608CFD8F,25,0,2022-01-05 12:59:29.749,2022-01-05 12:59:42.325,4,tanár,boszorkány,kereszt,tévé,,,,,,,,
1D38C29756C4974F3C25A17812794047,95,0,2022-01-05 13:11:14.494,2022-01-05 13:11:52.089,5,cipő,pisztoly,csizma,egér,motor,,,,,,,
1D38C29756C4974F3C25A17812794047,7,0,2022-01-05 13:11:54.802,2022-01-05 13:12:23.386,4,szél,kutya,kölyök,betegség,,,,,,,,
1D38C29756C4974F3C25A17812794047,72,0,2022-01-05 13:12:25.569,2022-01-05 13:12:49.294,3,tiszta,olaj,szem,,,,,,,,,
1D38C29756C4974F3C25A17812794047,47,0,2022-01-05 13:12:51.112,2022-01-05 13:13:00.685,3,pilóta,sivatag,homok,,,,,,,,,
1D38C29756C4974F3C25A17812794047,50,0,2022-01-05 13:13:02.741,2022-01-05 13:13:17.058,3,pilóta,hajt,autó,,,,,,,,,
1D38C29756C4974F3C25A17812794047,59,0,2022-01-05 13:13:18.671,2022-01-05 13:13:52.418,4,kerek,körte,repül,nehéz,,,,,,,,
1D38C29756C4974F3C25A17812794047,67,0,2022-01-05 13:13:54.508,2022-01-05 13:14:17.092,3,vitamin,anyag,kemény,,,,,,,,,
1D38C29756C4974F3C25A17812794047,54,0,2022-01-05 13:14:18.455,2022-01-05 13:14:47.746,5,koporsó,nyit,tető,homok,cipő,,,,,,,
1D38C29756C4974F3C25A17812794047,98,0,2022-01-05 13:14:49.863,2022-01-05 13:15:10.301,5,királynő,amazon,forrás,haza,sárkány,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,12,0,2022-01-05 13:22:02.322,2022-01-05 13:23:00.747,5,kard,könnyű,körte,csokoládé,csavar,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,7,0,2022-01-05 13:23:07.266,2022-01-05 13:24:01.9,5,szív,tojás,szél,szín,kutya,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,1,0,2022-01-05 13:24:08.437,2022-01-05 13:24:37.485,6,szék,kereszt,gitár,szakít,tábla,virág,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,75,0,2022-01-05 13:24:41.19,2022-01-05 13:25:15.287,6,olaj,virág,alma,szürke,láda,keret,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,81,0,2022-01-05 13:25:19.277,2022-01-05 13:25:39.206,4,forma,keret,alak,kemény,,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,57,0,2022-01-05 13:25:41.96,2022-01-05 13:25:53.413,2,anyag,mozi,,,,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,48,0,2022-01-05 13:25:55.173,2022-01-05 13:26:15.367,6,fűszer,tányér,vitamin,kutya,élet,csöpp,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,95,0,2022-01-05 13:26:19.636,2022-01-05 13:26:38.601,5,motor,cipő,föld,csizma,pisztoly,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,58,0,2022-01-05 13:26:40.529,2022-01-05 13:26:57.265,4,gumi,tető,gyöngy,kereszt,,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,24,0,2022-01-05 13:26:58.907,2022-01-05 13:27:17.426,4,boszorkány,ordít,piramis,zebra,,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,87,0,2022-01-05 13:27:19.258,2022-01-05 13:27:38.617,4,idegen,oszlop,egér,kutya,,,,,,,,
FD0560CBCA319CB23E0E07B76CAB1A0E,42,0,2022-01-05 13:27:40.336,2022-01-05 13:27:52.358,3,körte,fűszer,görög,,,,,,,,,
93868602FEB3BD343ECAEC9ED8EDEEAE,32,0,2022-01-05 13:30:03.044,2022-01-05 13:30:27.999,5,kenyér,műhold,majom,bika,láda,,,,,,,
93868602FEB3BD343ECAEC9ED8EDEEAE,75,0,2022-01-05 13:30:31.563,2022-01-05 13:31:03.059,6,olaj,virág,egészség,tiszta,alma,hideg,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,71,0,2022-01-05 14:00:33.133,2022-01-05 14:01:47.598,6,királynő,sárkány,rendőr,katona,szakasz,könnyű,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,81,0,2022-01-05 14:01:55.797,2022-01-05 14:02:41.543,5,forma,alak,kemény,mező,keret,,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,72,0,2022-01-05 14:02:51.489,2022-01-05 14:03:34.294,5,tiszta,hullám,kölyök,kereszt,majom,,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,73,0,2022-01-05 14:03:42.69,2022-01-05 14:04:03.991,5,kártya,arany,gyöngy,gyűrű,piramis,,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,21,0,2022-01-05 14:04:06.746,2022-01-05 14:04:32.137,4,térkép,park,erdő,mese,,,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,80,0,2022-01-05 14:04:39.845,2022-01-05 14:05:16.493,6,angyal,szoknya,oszlop,tavasz,természet,virág,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,50,0,2022-01-05 14:05:21.212,2022-01-05 14:05:44.565,3,pilóta,halál,hajt,,,,,,,,,
CEE354A3BE6CD4F1BE5A27066DDC27DB,32,0,2022-01-05 14:05:49.356,2022-01-05 14:06:38.154,5,kenyér,majom,föld,bánya,láda,,,,,,,
517C8DD380E561BF6B7D674447C77B67,18,0,2022-01-05 15:14:32.75,2022-01-05 15:14:40.422,6,föld,nővér,álom,csizma,féreg,szem,,,,,,
517C8DD380E561BF6B7D674447C77B67,61,0,2022-01-05 15:14:48.105,2022-01-05 15:14:57.36,2,kölyök,iskola,,,,,,,,,,
517C8DD380E561BF6B7D674447C77B67,93,0,2022-01-05 15:15:00.669,2022-01-05 15:15:16.161,5,király,udvar,ruha,háború,oroszlán,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,90,0,2022-01-05 15:40:47.473,2022-01-05 15:41:21.994,4,rózsa,szakít,apró,tiszta,,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,55,0,2022-01-05 15:41:28.382,2022-01-05 15:41:45.034,4,sivatag,erdő,levegő,álom,,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,53,0,2022-01-05 15:41:47.203,2022-01-05 15:41:55.971,2,műanyag,arany,,,,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,84,0,2022-01-05 15:41:57.369,2022-01-05 15:42:11.65,3,kenyér,leves,villa,,,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,71,0,2022-01-05 15:42:12.272,2022-01-05 15:42:42.378,5,katona,levegő,lyuk,bálna,királynő,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,59,0,2022-01-05 15:42:44.653,2022-01-05 15:42:59.336,5,kerek,körte,csomó,apró,ruha,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,14,0,2022-01-05 15:43:01.044,2022-01-05 15:43:23.338,5,pálya,meleg,élet,pilóta,szám,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,85,0,2022-01-05 15:43:27.914,2022-01-05 15:43:47.182,5,kulcs,amazon,kocka,hotel,könnyű,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,62,0,2022-01-05 15:43:49.369,2022-01-05 15:44:15.144,5,bánya,szellem,bomba,csokoládé,haza,,,,,,,
87C526AE3511530FB4D01EF8870EFF60,64,0,2022-01-05 15:44:17.586,2022-01-05 15:44:47.215,6,nyom,nehéz,természet,csatorna,béka,gitár,,,,,,
87C526AE3511530FB4D01EF8870EFF60,7,0,2022-01-05 15:44:49.6,2022-01-05 15:45:07.1,4,szív,kutya,tojás,szél,,,,,,,,
